English,Portuguese
mrs.,Sra.
alive,vivo
pick,escolha
feeling,sentimento
living,vivo
cause,causa
ahead,à frente
lose,perder
king,rei
plan,plano
dinner,jantar
sighs,suspiros
sort,ordenar
leaving,deixando
shouldn,deveria
running,corrida
boss,chefe
alright,tudo bem
promise,promessa
taken,ocupado
safe,seguro
ma,MA
book,livro
sent,enviado
white,branco
hour,hora
anybody,qualquer pessoa
small,pequena
perfect,perfeito
cause,causa
lives,vidas
special,especial
parents,pais
s,s
john,João
himself,ele mesmo
perhaps,talvez
sounds,sons
serious,sério
sick,doente
company,companhia
ha,ha
scared,assustada
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
possible,possível
shoot,atirar
touch,toque
sound,som
top,topo
ass,bunda
laughs,ri
cannot,não podes
asking,Perguntando
win,ganhar
glad,alegre
control,ao controle
hmm,Hmm
human,humano
drive,dirigir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
murder,assassinato
happens,acontece
air,ar
ten,dez
daddy,papai
finally,finalmente
chuckles,risadas
fast,velozes
cold,resfriado
seem,parecer
laughing,risonho
words,palavras
hospital,hospital
street,rua
hang,pendurar
dance,dança
meeting,encontro
till,até
others,outros
catch,truque
follow,Segue
sense,senso
sex,sexo
lie,mentira
evening,tarde
master,mestre
known,conhecido
dream,Sonhe
write,Escreva
million,milhão
voice,voz
sweet,doce
rather,em vez de
felt,sentiu
sign,sinal
lucky,afortunado
somewhere,em algum lugar
bet,aposta
o,o
jesus,Jesus
longer,mais tempo
calling,chamando
worked,trabalhado
quiet,tranquilo
looked,visto
less,menos
pull,puxar
beat,bater
careful,cuidadoso
coffee,café
return,Retorna
secret,segredo
weeks,semanas
weren,não estava
date,encontro
seeing,vendo
fall,cair
given,dado
ooh,ooh
fault,culpa
straight,direto
takes,leva
song,música
future,futuro
gentlemen,cavalheiros
loved,amavam
changed,mudado
road,estrada
calm,calma
wonderful,Maravilhoso
mad,louco
turned,virado
drop,derrubar
ladies,senhoras
learn,aprender
step,degrau
absolutely,absolutamente
early,cedo
explain,explique
clean,limpar
piece,peça
yesterday,ontem
throw,lançar
picture,foto
land,terra
feet,pés
wonder,maravilha
questions,perguntas
speaking,Falando
worth,que vale a pena
darling,querida
dude,cara
giving,dando
president,Presidente
eye,olho
quick,rápido
moving,movendo
figure,figura
state,Estado
strong,Forte
sam,Sam
none,Nenhum
amazing,incrível
ones,uns
works,funciona
act,Aja
needed,precisava
weird,estranhas
law,lei
worried,preocupado
report,relatório
goodbye,adeus
missing,ausência de
choice,escolha
happening,acontecendo
chief,chefe
wedding,Casamento
strange,estranho
general,em geral
pain,dor
am,sou
kidding,brincando
decided,decidiu
ya,ya
pass,passar
tired,cansado
class,classe
officer,Policial
kept,mantido
wake,acordar
worse,pior
busy,ocupado
eh,Eh
mistake,erro
kiss,beijo
court,quadra
building,prédio
finish,Finalizar
during,durante
age,era
ship,navio
caught,apanhado
marry,casar
meant,significou
sell,vender
dark,Sombrio
watching,assistindo
system,sistema
suppose,suponha
evidence,evidência
movie,filme
ride,passeio
t,t
completely,completamente
mouth,boca
totally,totalmente
birthday,aniversário
tv,televisão
forgive,perdoar
born,nascido
imagine,Imagine
information,em formação
instead,em vez de
definitely,definitivamente
security,segurança
certainly,certamente
film,filme
month,mês
lying,deitado
unless,a não ser que
train,Comboio
seven,Sete
wear,vestem
clothes,roupas
michael,Michael
hotel,hotel
christmas,Natal
attack,ataque
hasn,Hasn
round,redondo
expect,Espero
sing,canta
terrible,Terrível
george,George
bag,sacola
history,história
blue,azul
near,aproximar
broke,quebrou
station,estação
seriously,a sério
forever,para todo sempre
david,David
frank,Frank
except,exceto
thinks,acha
message,mensagem
entire,inteira
joe,Joe
table,tabela
talked,falou
across,através
rock,Rocha
lovely,encantador
handle,lidar com
middle,meio
buddy,camarada
paid,pago
protect,proteger
using,usando
floor,piso
ran,correu
swear,jurar
spend,gasta
situation,situação
ring,anel
anywhere,qualquer lugar
dangerous,perigoso
bill,conta
york,Iorque
army,exército
lead,conduzir
bought,comprado
finished,finalizado
fair,feira
sun,Sol
letter,carta
fool,idiota
attention,atenção
club,clube
simple,simples
interesting,interessante
space,espaço
test,teste
box,caixa
group,grupo
single,solteiro
sitting,sentado
marriage,casado
join,Junte
fear,temer
d,d
peace,Paz
forgot,esquecido
force,força
short,curto
normal,normal
charlie,Charlie
present,presente
enjoy,desfrutar
mike,Mike
crime,crime
horse,cavalo
ground,chão
american,americano
count,contar
area,área
charge,carregar
honor,honra
lunch,almoço
miles,milhas
radio,rádio
idiot,idiota
ball,bola
surprise,surpresa
paper,papel
key,chave
boat,barco
quickly,rapidamente
gold,ouro
bar,bar
fish,peixe
mark,marca
tom,Tom
wearing,vestindo
crying,chorando
accident,acidente
government,governo
eight,oito
fell,caiu
cover,cobrir
certain,certo
interested,interessado
deep,profundo
star,Estrela
sea,mar
agree,aceita
problems,problemas
detective,detetive
prison,prisão
major,formar-se
stick,grudar
offer,oferta
difficult,difícil
smart,inteligente
personal,pessoal
record,registro
stopped,parou
hide,ocultar
whether,se
bank,banco
trip,viagem
relax,relaxar
america,América
public,público
list,Lista
afternoon,tarde
brain,cérebro
fix,fixar
bastard,Desgraçado
proud,orgulhoso
tea,chá
service,serviço
screaming,gritando
forward,frente
angry,Bravo
park,parque
soul,alma
fighting,brigando
peter,Pedro
rich,rico
agent,agente
blow,golpe
paul,Paulo
dress,vestir
mary,Mary
missed,esquecidas
scene,cena
killing,matando
standing,de pé
saved,salvou
mm,milímetros
respect,respeito
killer,assassino
ice,gelo
mess,bagunça
tough,difícil
feels,sentimentos
church,igreja
sad,triste
cell,célula
drunk,bêbado
share,compartilhar
camera,Câmera
mm-hmm,mm-hmm
within,dentro de
card,cartão
fly,voe
ben,Ben
girlfriend,Namorada
laugh,riso
smell,cheiro
broken,quebrado
mum,mãe
honest,honesto
often,muitas vezes
starting,iniciando
calls,chamadas
y,y
spent,gasto
third,terceiro
english,inglês
visit,Visita
mama,Mama
judge,juiz
window,janela
hungry,com fome
dare,Ouse
relationship,relação
moved,mudou-se
prove,provar
private,privado
wall,muro
seat,assento
i-i,eu-i
position,posição
lieutenant,tenente
realize,entender
lt,lt
especially,especialmente
machine,máquina
walking,andando
art,arte
pleasure,prazer
bloody,sangrento
college,faculdade
french,francês
involved,envolvido
cry,choro
became,passou a ser
lived,vivido
impossible,impossível
obviously,obviamente
neither,nenhum
accept,aceitar
boyfriend,namorado
besides,além do mais
queen,rainha
teacher,professora
cops,policiais
sake,interesse
loves,O amor é
carry,carregar
teach,Ensinar
apartment,apartamento
upset,chateado
green,verde
la,la
liked,apreciado
cute,bonitinho
evil,mal
professor,professor
contact,contato
joke,Piada
cop,policial
huge,enorme
holy,piedosos
store,armazenar
jail,cadeia
likes,curtidas
lawyer,advogado
doubt,dúvida
continue,Prosseguir
appreciate,apreciar
cat,gato
shop,fazer compras
driving,dirigindo
congratulations,Parabéns
wrote,escreveu
village,Vila
quit,Sair
field,campo
james,James
wine,vinho
decision,decisão
south,sul
sleeping,adormecido
slow,lento
laughter,risada
island,ilha
glass,vidro
beginning,começo
cash,dinheiro
dying,moribundo
hundred,centenas
whose,de quem
difference,diferença
plane,avião
push,Empurre
continues,continuou
mmm,mmm
singing,cantando
eating,comendo
north,norte
mrs,Sra
tree,árvore
madam,senhora
gift,Presente
truck,caminhão
putting,colocando
bear,urso
board,quadro
grab,agarrar
beer,Cerveja
stuck,grudou
magic,Magia
support,"Apoio, suporte"
rules,as regras
grunts,grunhidos
partner,parceiro
reach,alcançar
wind,vento
colonel,coronel
max,máx
immediately,imediatamente
seconds,segundos
thousand,mil
gives,dá
experience,experiência
cheers,Felicidades
victim,vítima
upon,sobre
computer,computador
christ,Cristo
planet,planeta
promised,prometido
bus,ônibus
henry,Henry
dirty,sujo
search,procurar
staying,ficando
dreams,sonhos
arrest,prender prisão
holding,segurando
suddenly,De repente
usually,usualmente
lots,grande quantidade
shoes,sapatos
er,er
jump,pular
rid,livrar
yo,yo
knock,bater
owe,dever
harry,atormentar
grow,crescer
worst,pior
river,rio
aunt,tia
patient,paciente
kitchen,cozinha
aah,aah
fat,gordo
passed,passado
m,m
final,final
summer,verão
bob,prumo
listening,ouvindo
escape,escapar
everywhere,em toda parte
moon,lua
arms,braços
turns,curva
address,Morada
ow,ow
match,Combine
gasps,Susps
grand,grande
yep,Sim
shh,shh
nervous,nervoso
de,de
choose,escolher
themselves,eles mesmos
decide,decidir
mate,amigo
drinking,bebendo
press,pressione
bother,irmão
foot,pé
hadn,tinha
blame,culpa
crap,porcaria
drugs,drogas
type,modelo
rings,argolas
mission,missão
named,nomeado
heaven,paraíso
ii,ii
picked,escolhido
paris,Paris
race,corrida
risk,risco
books,livros
further,mais longe
danny,Danny
action,ação
allowed,permitido
orders,ordens
learned,aprendido
price,preço
arrived,chegado
nick,usuario
otherwise,por outro lado
pictures,As fotos
fit,em forma
smoke,fumaça
favor,Favor
played,reproduziu
notice,perceber
awesome,incrível
smile,sorriso
director,diretor
guard,guarda
begin,começar
spot,ver
surprised,surpreso
innocent,inocente
narrator,narrador
herself,ela própria
london,Londres
feelings,sentimentos
enemy,inimigo
battle,batalha
ourselves,nós mesmos
alex,Alex
dollars,dólares
allow,permitir
nine,nove
gay,gay
department,departamento
guilty,culpado
apart,separado
earlier,mais cedo
duty,dever
jim,Jim
suit,Traje
bell,Sino
west,Oeste
legs,pernas
hero,herói
destroy,destruir
stage,palco
bunch,monte
according,de acordo com
chicken,frango
bigger,Maior
grunting,grunhindo
low,baixo
helping,ajudando
admit,Admitem
closed,fechado
names,nomes
witness,testemunha
upstairs,andar de cima
arm,braço
steal,roubar
jimmy,Jimmy
kick,chute
twice,duas vezes
cross,Cruz
ways,caminhos
sergeant,sargento
indeed,na verdade
gas,gás
keeping,guardando
energy,energia
pregnant,grávida
waste,desperdício
helped,ajudou
fired,despedido
favorite,favorito
tony,Tony
taste,gosto
locked,trancado
places,lugares
writing,escrita
adam,Adão
brothers,irmãos
starts,inicia
prince,Principe
form,Formato
sold,vendido
silly,boba
mention,menção
build,construir
throat,garganta
hole,buraco
figured,figurado
track,acompanhar
ringing,toque
lock,trancar
leg,perna
above,acima de
hiding,se escondendo
steve,Steve
seemed,pareceu
breakfast,café da manhã
engine,motor
written,escrito
complete,completo
video,vídeo
applause,aplausos
however,Contudo
pressure,pressão
weapon,arma
sky,céu
ms.,EM.
stole,roubaram
study,estudar
burn,queimar
reading,leitura
crowd,multidão
treat,tratar
roll,lista
double,em dobro
spirit,espírito
danger,perigo
cost,custo
empty,vazio
level,nível
memory,memória
itself,em si
acting,atuando
interest,interesse
nose,nariz
plans,planos
following,Segue
bathroom,banheiro
built,construído
closer,mais próximo
ray,raio
sarah,Sarah
band,banda
groans,gemidos
apparently,aparentemente
excited,animado
richard,Richard
losing,perdendo
animals,animais
flight,voar
nature,natureza
raise,levantar
pop,pop
client,cliente
bomb,bombear
neck,pescoço
suspect,suspeito
warm,caloroso
extra,extra
bottle,garrafa
van,furgão
heavy,pesado
mommy,Mamãe
dogs,cães
wild,selvagem
ridiculous,ridículo
simply,simplesmente
lee,Lee
animal,animal
showed,mostrou
billy,Billy
shooting,filmagem
keeps,mantém
camp,acampamento
guns,armas
medical,médico
shame,vergonha
hoping,na esperança
whom,o qual
bird,pássaro
majesty,majestade
flowers,flores
famous,famoso
asleep,dormindo
beauty,beleza
driver,condutor
keys,chaves
rain,chuva
awful,horrível
large,ampla
local,local
deserve,merecer
goddamn,Maldito
stone,pedra
jane,Jane
grace,graça
consider,considerar
weekend,fim de semana
wondering,perguntando
lay,colocar
plenty,bastante
willing,disposto
pants,calça
sweetheart,amada
skin,pele
excellent,excelente
asshole,Idiota
beach,de praia
c,c
faith,fé
beg,implorar
fuckin,porra
responsible,responsável
military,militares
cheering,torcendo
opportunity,oportunidade
common,comum
bottom,fundo
german,alemão
whoever,quem quer que seja
cook,cozinheiro
walked,caminhou
papers,papéis
justice,justiça
hall,corredor
commander,comandante
drug,medicamento
main,a Principal
knife,faca
devil,diabo
necessary,necessário
although,Apesar
princess,Princesa
lights,luzes
flying,vôo
dick,Dick
rose,rosa
knowing,sabendo
clearly,claramente
hat,chapéu
agreed,concordou
johnny,Johnny
corner,canto
code,código
note,Nota
tommy,Tommy
due,vencimento
correct,correto
apologize,desculpar-se
language,Língua
stars,estrelas
faster,mais rápido
cars,carros
folks,pessoal
bullshit,besteira
i.,eu.
fellow,companheiro
several,de várias
grandma,Avó
shows,shows
leader,líder
leaves,folhas
restaurant,restaurante
east,leste
shouting,gritando
blind,cego
ghost,fantasma
cup,copo
gotten,pego
tight,apertado
conversation,conversação
tells,diz
lies,mentiras
nor,nem
pulled,retirado
hanging,pendurado
speed,Rapidez
stories,histórias
health,saúde
advice,adendo
held,guardado
uh-huh,uh-huh
murdered,assassinado
beyond,além
rule,regra
hardly,dificilmente
possibly,possivelmente
inspector,Inspetor
cousin,prima
trial,tentativas
emergency,emergência
ought,deveria
eddie,Eddie
somehow,de alguma forma
hearing,audição
states,estados
account,conta
spoke,falou
file,Arquivo
understood,Entendido
angel,anjo
tape,fita
milk,leite
powerful,poderoso
weapons,armas
practice,prática
manager,Gerente
pardon,perdão
vote,voto
jake,Jake
national,nacional
career,carreira
minister,ministro
super,super
taught,ensinado
robert,Robert
biggest,o maior
plays,tocam
natural,natural
dancing,dançando
copy,cópia de
plus,mais
martin,Martin
cake,bolo
freedom,liberdade
among,dentre
breath,respiração
operation,Operação
chris,Chris
crew,equipe técnica
challenge,desafio
market,mercado
meat,eu no
towards,em direção
bringing,trazendo
dropped,desistiu
student,aluna
lied,mentiu
strength,força
size,Tamanho
breathe,respirar
color,cor
monster,monstro
loud,alto
photo,foto
aw,aw
nearly,por pouco
sight,visão
greatest,o melhor
games,Jogos
bridge,ponte
dressed,vestido
arrested,preso
horrible,horrível
coach,treinador
planning,planejamento
checked,verificado
breaking,quebra
noticed,percebido
fantastic,fantástico
screams,grita
serve,servir
ideas,Ideias
investigation,investigação
center,Centro
older,Mais velho
pack,pacote
soldiers,soldados
nonsense,Absurdo
doc,Doc
project,projeto
training,Treinamento
example,exemplo
trick,truque
prepared,preparado
science,Ciência
united,Unidos
travel,viagem
incredible,incrível
grandpa,Vovô
paying,pagando
character,personagem
teeth,dentes
criminal,Criminoso
charles,Charles
chinese,chinês
truly,verdadeiramente
honestly,honestamente
bro,Mano
survive,sobreviver
bobby,Bobby
target,alvo
feed,alimentação
nurse,enfermeira
e,e
fake,falso
records,registros
breathing,respirando
sweetie,querida
numbers,números
oil,óleo
suicide,suicídio
belong,pertencer
whoo,Whoo
perfectly,perfeitamente
amy,Amy
forgotten,esquecido
remain,permanecer
original,original
papa,Papa
onto,para
concerned,preocupado
credit,crédito
ugh,eca
invited,convidamos
discuss,discutir
research,pesquisar
easier,mais fácil
view,Visão
chair,cadeira
hurts,machuca
strike,ataque
roger,Roger
fill,encher
condition,doença
mountain,montanha
dr,dr
nowhere,lugar algum
sheriff,xerife
kim,Kim
turning,girando
brown,Castanho
recognize,reconhecer
heads,cabeças
audience,público
all,tudo
jealous,com ciumes
pretend,fingir
society,sociedade
finding,encontrando
shirt,camisa
comfortable,confortável
meaning,significado
guest,convidado
pieces,peças
dry,seco
letting,de locação
began,começou
aye,Sim
jeff,Jeff
female,fêmea
release,liberar
ho,Ho
cards,cartões
pray,rezar
unfortunately,infelizmente
balls,bolas
destroyed,destruído
ended,terminou
universe,universo
prepare,preparar
opinion,opinião
movies,filmes
soldier,soldado
wash,lavagem
program,programa
heat,aquecer
usual,usual
ticket,bilhete
stolen,roubado
prefer,preferir
aware,consciente
surely,certamente
male,macho
base,base
matters,assuntos
lift,levantar
lab,laboratório
command,comando
proof,prova
cream,creme
selling,vendendo
believed,acreditava
create,crio
h,h
afford,proporcionar
sunday,Domingo
total,total
dumb,idiota
threw,jogou
france,França
birth,nascimento
created,criada
realized,percebi
british,britânico
noise,ruído
nuts,nozes
students,alunos
birds,pássaros
social,social
brilliant,brilhante
bodies,corpos
tie,gravata
opened,aberto
ours,nosso
bucks,Bucks
kevin,Kevin
mister,senhor
ugly,feio
ryan,Ryan
focus,foco
dan,Dan
opens,abre
exist,existir
followed,seguido
england,Inglaterra
draw,empate
purpose,propósito
letters,cartas
daniel,Daniel
opening,abertura
bullet,bala
anna,Anna
lately,recentemente
stayed,fiquei
falling,queda
season,estação
ends,termina
suggest,sugerir
joy,alegria
distance,distância
responsibility,responsabilidade
whenever,em qualquer momento
issue,questão
thousands,milhares
process,processo
sword,espada
shower,banho
weak,fraco
fucked,Fodido
lonely,sozinho
eric,Eric
tiny,minúsculo
desk,mesa
pool,piscina
property,propriedade
forced,forçado
settle,resolver
indistinct,indistinto
weight,peso
received,recebido
gang,gangue
bite,morder
friday,Sexta-feira
disappeared,desaparecido
interview,entrevista
expecting,esperando
kinda,tipo
surgery,cirurgia
horses,cavalos
mayor,prefeito
babe,bebê
ancient,antigo
handsome,bonito
thomas,Thomas
saturday,sábado
staff,funcionários
lines,linhas
unit,unidade
fan,fã
gentleman,cavalheiro
introduce,introduzir
fate,destino
split,dividir
recently,recentemente
expected,esperado
add,adicionar
ordered,ordenado
slowly,devagar
alarm,alarme
member,membro
slept,dormisse
signed,assinado
enter,digitar
spanish,espanhol
garden,jardim
brings,traz
brave,corajoso
pig,porco
model,modelo
finger,dedo
medicine,medicamento
access,Acesso
failed,fracassado
flat,apartamento
easily,facilmente
discovered,descoberto
based,Sediada
screw,parafuso
insane,insano
cares,Cuidados
weather,tempo
fingers,dedos
san,San
scott,Scott
path,caminho
soft,suave
harm,prejuízo
style,estilo
community,comunidade
sees,vê
basically,basicamente
al,al
signal,sinal
nope,Não
spare,poupar
speech,Fala
covered,abordado
shake,sacudir
loose,solto
snow,neve
russian,russo
lake,lago
bright,brilhante
roof,cobertura
ohh,Ohh
sending,envio
paint,pintar
remind,lembrar
pal,amigo
naked,nu
post,publicar
sugar,açúcar
heading,cabeçalho
streets,ruas
damage,dano
silence,silêncio
doors,portas
pete,Pete
ed,ed
success,sucesso
wet,molhado
nah,nah
amount,quantia
members,membros
kate,Kate
manage,gerir
safety,segurança
returned,retornou
harder,mais difícil
fbi,FBI
block,quadra
showing,mostrando
fancy,gostar
chef,chefe de cozinha
contract,contrato
dig,escavação
chest,peito
good-bye,adeus
drinks,bebidas
dave,Dave
buried,sepultado
brian,Brian
trade,troca
journey,jornada
stomach,estômago
changes,mudanças
details,detalhes
thoughts,pensamentos
divorce,divórcio
funeral,funeral
maria,Maria
football,futebol
reality,realidade
theory,teoria
gosh,poxa
ruined,arruinado
gate,portão
william,William
spread,espalhar
outta,outta
japanese,japonês
sudden,repentino
coat,casaco
sooner,mais cedo
cheese,queijo
larry,Larry
spring,primavera
page,página
ears,ouvidos
simon,Simon
castle,castelo
hidden,escondido
storm,tempestade
cos,cos
personally,pessoalmente
artist,artista
hill,colina
exciting,excitante
permission,permissão
jerry,Jerry
expensive,caro
tickets,ingressos
forest,floresta
barely,por muito pouco
eggs,ovos
goin,entre
regret,arrepender
lesson,lição
lover,amante
bread,pão
andy,Andy
subject,sujeito
legal,jurídico
growing,crescendo
ill,doente
jason,Jason
mood,humor
owner,proprietário
caused,causado
beeping,biping
points,pontos
dating,namoro
loss,perda
secretary,secretário
revenge,vingança
santa,Papai Noel
likely,provável
rent,aluguel
connection,conexão
assistant,assistente
reasons,razões
yelling,gritando
painting,quadro
trees,árvores
doctors,médicos
rush,correr
foreign,estrangeiro
rough,rude
murderer,assassino
century,século
nights,noites
pair,par
runs,corre
pocket,bolso
farm,Fazenda
matt,Matt
bike,bicicleta
obvious,óbvio
ate,comi
grew,cresceu
professional,profissional
tim,Tim
goodness,bondade
parts,peças
alan,Alan
university,universidade
square,quadrado
grandfather,Vô
europe,Europa
genius,gênio
cases,casos
ruin,ruína
winter,inverno
tongue,língua
memories,recordações
da,da
buying,comprando
cancer,Câncer
clock,relógio
ocean,oceano
dna,DNA
liar,mentiroso
tour,Tour
thief,Ladrão
bleep,bip
lisa,Lisa
rights,direitos
including,Incluindo
competition,concorrência
smith,Smith
planned,planejado
emily,Emily
boring,tedioso
victims,vítimas
mentioned,mencionado
bones,ossos
plant,plantar
bless,abençoar
warning,aviso
knocking,batendo
re,ré
crash,batida
bedroom,quarto
lower,mais baixo
silver,prata
groaning,gemendo
madame,madame
defense,defesa
results,resultados
toilet,banheiro
event,evento
complicated,complicado
shape,forma
priest,padre
royal,real
cheap,barato
romantic,romântico
downstairs,andar de baixo
invite,convidar
fortune,fortuna
tears,lágrimas
avoid,evitar
reached,alcançado
higher,mais alto
familiar,familiar
telephone,Telefone
burning,queimando
filled,preenchidas
kelly,Kelly
alice,Alice
airport,aeroporto
jobs,empregos
grown,crescido
walter,Walter
rachel,Rachel
giant,gigante
insurance,seguro
woods,bosques
n,n
scare,susto
pleased,satisfeito
